title_keywords,abstract_keywords
智慧养老，智能体与交互，以人为本设计,智慧养老；智能体与交互；以人为本设计；多模态感知；系统性能指标；可持续与环境评估
具身智能与机器人技术，强化学习，多模态感知,具身智能与机器人技术；多模态感知；强化学习；模型优化；自适应机制；系统性能指标
数字建造与制造，参数化与计算设计，数字孪生与BIM,数字建造与制造；参数化与计算设计；生成式工作流；数字孪生与BIM；智能建筑与运维；以人为本设计；可持续与环境评估；系统性能指标
智慧教育，智能体与交互，数字孪生与BIM,智慧教育；智能体与交互；数字孪生与BIM；以人为本设计；系统性能指标
智慧养老，多模态感知，以人为本设计,智慧养老；多模态感知；自适应机制；以人为本设计；系统性能指标
智慧教育，多模态感知，自适应机制,智慧教育；多模态感知；深度学习；自适应机制；以人为本设计；系统性能指标
具身智能与机器人技术，智能体与交互，多模态感知,具身智能与机器人技术；智能体与交互；多模态感知；强化学习；模型优化；自适应机制；系统性能指标
智慧教育，智能体与交互，数字孪生与BIM,智慧教育；智能体与交互；数字孪生与BIM；模型优化；以人为本设计；系统性能指标
智慧教育，智能体与交互，数字孪生与BIM,智慧教育；智能体与交互；数字孪生与BIM；模型优化；以人为本设计；系统性能指标
智能建筑与运维，模型优化，系统性能指标,智能建筑与运维；模型优化；多模态感知；系统性能指标；可持续与环境评估
智能建筑与运维，多模态感知，模型优化,智能建筑与运维；多模态感知；模型优化；系统性能指标；自适应机制
智慧教育，多目标优化，自适应机制,智慧教育；多目标优化；强化学习；自适应机制；人机协同/HRI；系统性能指标；可持续与环境评估
智慧教育，智能体与交互，以人为本设计,智慧教育；智能体与交互；以人为本设计；生成式工作流；系统性能指标
智慧养老，智能体与交互，以人为本设计,智慧养老；智能体与交互；以人为本设计；多模态感知；系统性能指标；可持续与环境评估
具身智能与机器人技术，强化学习，自适应机制,具身智能与机器人技术；强化学习；自适应机制；模型优化；系统性能指标
数字孪生与BIM，多模态感知，智能建筑与运维,数字孪生与BIM；多模态感知；城市规划与更新；模型优化；系统性能指标；智能建筑与运维
智慧养老，以人为本设计，多模态感知,智慧养老；以人为本设计；多模态感知；系统性能指标；智能体与交互
智慧教育，多模态感知，自适应机制,智慧教育；多模态感知；物联网设备；机器学习算法；自适应机制；以人为本设计；系统性能指标
智慧教育，智能体与交互，强化学习,智慧教育；智能体与交互；强化学习；多模态感知；自适应机制；系统性能指标
智能建筑与运维，模型优化，系统性能指标,智能建筑与运维；多模态感知；模型优化；系统性能指标；可持续与环境评估
智慧教育，智能体与交互，以人为本设计,智慧教育；智能体与交互；多模态感知；自适应机制；以人为本设计；系统性能指标
社会机器人，智慧养老，自适应机制,智慧养老；社会机器人；自适应机制；系统性能指标；以人为本设计
智慧养老，智能建筑与运维，以人为本设计,智慧养老；智能建筑与运维；多模态感知；以人为本设计；系统性能指标
具身智能与机器人技术，强化学习，自适应机制,具身智能与机器人技术；强化学习；模仿学习；自适应机制；社会机器人；系统性能指标
智慧教育，多模态感知，自适应机制,智慧教育；多模态感知；智能体与交互；自适应机制；系统性能指标
智能建筑与运维，多模态感知，自适应机制,智能建筑与运维；多模态感知；自适应机制；模型优化；系统性能指标；数字孪生与BIM
智慧养老，智能体与交互，以人为本设计,智慧养老；智能体与交互；多模态感知；以人为本设计；自适应机制；系统性能指标
社会机器人，计算机视觉，智能建筑与运维,社会机器人；计算机视觉；智能建筑与运维；强化学习；系统性能指标
智慧教育，多模态感知，数字孪生与BIM,智慧教育；多模态感知；异构数据融合；自适应机制；以人为本设计
智慧教育，智能体与交互，自适应机制,智慧教育；智能体与交互；自适应机制；系统性能指标；以人为本设计
智慧养老，多模态感知，以人为本设计,智慧养老；多模态感知；以人为本设计；自适应机制；系统性能指标
智慧教育，多模态感知，以人为本设计,智慧教育；多模态感知；计算机视觉；数字孪生与BIM；以人为本设计；自适应机制；系统性能指标
智慧养老，智能体与交互，以人为本设计,智慧养老；智能体与交互；以人为本设计；社会机器人；多模态感知；自适应机制；可持续与环境评估
智慧养老，以人为本设计，智能体与交互,智慧养老；以人为本设计；智能体与交互；多模态感知；自适应机制；系统性能指标
智慧养老，数字孪生与BIM，自适应机制,智慧养老；数字孪生与BIM；多模态感知；自适应机制；系统性能指标；以人为本设计
智能建筑与运维，系统性能指标，自适应机制,智能建筑与运维；系统性能指标；自适应机制；可持续与环境评估；以人为本设计
智能建筑与运维，模型优化，自适应机制,智能建筑与运维；自适应机制；模型优化；室内环境监测；能耗优化；以人为本设计
以人为本设计，多模态感知，智能建筑与运维,以人为本设计；多模态感知；智能建筑与运维；自适应机制；系统性能指标
智能建筑与运维，强化学习，模型优化,智能建筑与运维；强化学习；智能体与交互；自适应机制；模型优化；以人为本设计；可持续与环境评估；系统性能指标
智能建筑与运维，多模态感知，自适应机制,智能建筑与运维；多模态感知；自适应机制；系统性能指标；数字孪生与BIM
智能建筑与运维，自适应机制，以人为本设计,智能建筑与运维；自适应机制；多模态感知；模型优化；以人为本设计；可持续与环境评估；系统性能指标
智能建筑与运维，多模态感知，自适应机制,智能建筑与运维；多模态感知；自适应机制；系统性能指标；以人为本设计
数字孪生与BIM，可持续与环境评估，参数化与计算设计,数字孪生与BIM；可持续与环境评估；参数化与计算设计；智能建筑与运维；系统性能指标
智能建筑与运维，多模态感知，自适应机制,智能建筑与运维；多模态感知；自适应机制；系统性能指标；以人为本设计
智能建筑与运维，区块链与溯源，模型优化,智能建筑与运维；区块链与溯源；模型优化；系统性能指标
智能建筑与运维，模型优化，以人为本设计,智能建筑与运维；以人为本设计；模型优化；自适应机制；可持续与环境评估；系统性能指标
智能建筑与运维，多模态感知，模型优化,智能建筑与运维；多模态感知；模型优化；自适应机制；系统性能指标
智能建筑与运维，可持续与环境评估，参数化与计算设计,智能建筑与运维；可持续与环境评估；参数化与计算设计；模型优化；以人为本设计
智能建筑与运维，多模态感知，自适应机制,智能建筑与运维；多模态感知；自适应机制；系统性能指标；以人为本设计
智能建筑与运维，自适应机制，系统性能指标,智能建筑与运维；自适应机制；多模态感知；模型优化；系统性能指标；可持续与环境评估
智能建筑与运维，自适应机制，可持续与环境评估,智能建筑与运维；物联网；多目标优化算法；自适应机制；可持续与环境评估；数字孪生与BIM；系统性能指标
智能建筑与运维，自适应机制，系统性能指标,智能建筑与运维；自适应机制；系统性能指标；可持续与环境评估；数字孪生与BIM；模型优化
智能建筑与运维，自适应机制，以人为本设计,智能建筑与运维；多模态感知；自适应机制；可持续与环境评估；系统性能指标
智能建筑与运维，可持续与环境评估，自适应机制,智能建筑与运维；可持续与环境评估；自适应机制；物联网；系统性能指标；城市规划与更新
智能建筑与运维，可持续与环境评估，数字孪生与BIM,智能建筑与运维；可持续与环境评估；全生命周期评价/LCA；碳足迹；数字孪生与BIM；系统性能指标
数字孪生与BIM，智能建筑与运维，系统性能指标,建筑信息模型；数字孪生与BIM；智能建筑与运维；系统性能指标；数据可追溯性
智能建筑与运维，自适应机制，系统性能指标,智能建筑与运维；自适应机制；数据驱动；能耗优化；室内环境质量/IEQ；系统性能指标
智能建筑与运维，模型优化，自适应机制,智能建筑与运维；模型优化；自适应机制；系统性能指标
多目标跟踪，自适应机制，计算机视觉,多目标跟踪；自适应机制；计算机视觉；系统性能指标；智能体与交互
智能建筑与运维，可持续与环境评估，系统性能指标,智能建筑与运维；可持续与环境评估；系统性能指标；模型优化；多系统融合建模；协同调度；碳排放；能效评估
数字孪生与BIM，模型优化，系统性能指标,数字建造与制造；数字孪生与BIM；模型优化；系统性能指标；智能建筑与运维
智能建筑与运维，多模态感知，自适应机制,智能建筑与运维；多模态感知；物联网；自适应机制；实时性；系统性能指标；可持续与环境评估
智能建筑与运维，智能体与交互，以人为本设计,智能建筑与运维；以人为本设计；智能体与交互；多模态感知；自适应机制；系统性能指标
多模态感知，智能建筑与运维，自适应机制,多模态感知；边缘计算；自适应机制；系统性能指标；智能建筑与运维
多模态感知，智能建筑与运维，以人为本设计,多模态感知；以人为本设计；自适应机制；模型优化；智能建筑与运维；可持续与环境评估
智能建筑与运维，自适应机制，以人为本设计,智能建筑与运维；自适应机制；多模态感知；以人为本设计；可持续与环境评估；系统性能指标
智能建筑与运维，可持续与环境评估，以人为本设计,智能建筑与运维；可持续与环境评估；以人为本设计；全生命周期评价/LCA；室内环境质量/IEQ；系统性能指标
智能建筑与运维，模型优化，系统性能指标,智能建筑与运维；模型优化；系统性能指标；多模态感知；生成式工作流
智能建筑与运维，自适应机制，系统性能指标,智能建筑与运维；自适应机制；系统性能指标；模型优化；多模态感知
智能建筑与运维，以人为本设计，系统性能指标,智能建筑与运维；以人为本设计；可持续与环境评估；自适应机制；系统性能指标
智能建筑与运维，多模态感知，自适应机制,智能建筑与运维；多模态感知；自适应机制；系统性能指标；可持续与环境评估
智能建筑与运维，多模态感知，自适应机制,智能建筑与运维；多模态感知；自适应机制；数字孪生与BIM；系统性能指标
智能建筑与运维，多模态感知，自适应机制,智能建筑与运维；多模态感知；自适应机制；以人为本设计；可持续与环境评估；系统性能指标
智能建筑与运维，多模态感知，自适应机制,智能建筑与运维；多模态感知；自适应机制；可持续与环境评估；系统性能指标
智能建筑与运维，智能体与交互，多模态感知,智能建筑与运维；智能体与交互；多模态感知；自适应机制；系统性能指标；以人为本设计
智能建筑与运维，自适应机制，系统性能指标,智能建筑与运维；自适应机制；模型优化；以人为本设计；可持续与环境评估；系统性能指标
智能建筑与运维，可持续与环境评估，模型优化,智能建筑与运维；可持续与环境评估；模型优化；自适应机制；以人为本设计
智能建筑与运维，多目标跟踪，自适应机制,智能建筑与运维；多目标跟踪；自适应机制；数字孪生与BIM；系统性能指标
智能建筑与运维，数字孪生与BIM，智能体与交互,智慧教育；智能建筑与运维；数字孪生与BIM；智能体与交互；以人为本设计；系统性能指标
智能建筑与运维，数字孪生与BIM，以人为本设计,智能建筑与运维；数字孪生与BIM；虚拟仿真；火灾物理模拟；三维建模；沉浸式演练；实时数据记录；可视化复盘；个性化优化；应急疏散决策；行为训练；消防安全培训
智慧养老，智能建筑与运维，自适应机制,多模态感知；智能体与交互；自适应机制；以人为本设计；系统性能指标；可持续与环境评估
智能建筑与运维，自适应机制，系统性能指标,智能建筑与运维；自适应机制；系统性能指标；可持续与环境评估；模型优化
智能建筑与运维，自适应机制，以人为本设计,智能建筑与运维；多模态感知；自适应机制；可持续与环境评估；以人为本设计；系统性能指标
智慧养老，智能建筑与运维，城市规划与更新,智慧养老；智能建筑与运维；城市规划与更新；数字孪生与BIM；以人为本设计；系统性能指标
智能建筑与运维，多模态感知，自适应机制,智能建筑与运维；多模态感知；自适应机制；系统性能指标；模型优化
智能建筑与运维，数字孪生与BIM，多模态感知,智能建筑与运维；数字孪生与BIM；多模态感知；模型优化；预测性维护；系统性能指标；可持续与环境评估；数字建造与制造
智能体与交互，多模态感知，系统性能指标,智慧养老；智能建筑与运维；多模态感知；智能体与交互；模型优化；以人为本设计；系统性能指标
智能建筑与运维，可持续与环境评估，数字孪生与BIM,智能建筑与运维；可持续与环境评估；全生命周期评价/LCA；碳足迹；以人为本设计；系统性能指标
智能建筑与运维，模型优化，系统性能指标,智能建筑与运维；模型优化；自适应机制；系统性能指标
智能建筑与运维，多模态感知，自适应机制,智能建筑与运维；多模态感知；自适应机制；系统性能指标
智能建筑与运维，可持续与环境评估，自适应机制,智能建筑与运维；可持续与环境评估；自适应机制；系统性能指标
数字孪生与BIM，智能建筑与运维，数据集成管理,数字孪生与BIM；智能建筑与运维；数据集成管理；互操作性；可视化管控；系统性能指标
智能建筑与运维，多模态感知，自适应机制,智能建筑与运维；多模态感知；自适应机制；系统性能指标；以人为本设计
智能建筑与运维，智能体与交互，以人为本设计,智能建筑与运维；以人为本设计；智能体与交互；多模态感知；自适应机制；系统性能指标
智能建筑与运维，模型优化，系统性能指标,智能建筑与运维；模型优化；室内环境监测；能耗优化；系统性能指标；以人为本设计
数字建造与制造，强化学习，系统性能指标,数字建造与制造；智能体与交互；强化学习；模型优化；系统性能指标
智能建筑与运维，以人为本设计，自适应机制,智能建筑与运维；以人为本设计；自适应机制；数据驱动；用户行为画像；个性化服务
智能建筑与运维，多模态感知，系统性能指标,智能建筑与运维；多模态感知；系统性能指标；数字孪生与BIM；自适应机制
智能建筑与运维，多模态感知，自适应机制,智能建筑与运维；多模态感知；自适应机制；数字孪生与BIM；可持续与环境评估；系统性能指标
智能建筑与运维，多模态感知，自适应机制,智能建筑与运维；多模态感知；自适应机制；以人为本设计；可持续与环境评估；系统性能指标
智能建筑与运维，自适应机制，系统性能指标,智能建筑与运维；自适应机制；模型优化；系统性能指标；以人为本设计；可持续与环境评估
智能建筑与运维，多模态感知，以人为本设计,智能建筑与运维；虚拟仿真技术；多模态感知；以人为本设计；系统性能指标
智能建筑与运维，自适应机制，以人为本设计,智能建筑与运维；多模态感知；自适应机制；系统性能指标；以人为本设计；可持续与环境评估
数字建造与制造，多模态感知，以人为本设计,数字建造与制造；多模态感知；以人为本设计；系统性能指标
智能建筑与运维，以人为本设计，多模态感知,智能建筑与运维；以人为本设计；多模态感知；自适应机制；系统性能指标
数字孪生与BIM，智能建筑与运维，多模态感知,数字孪生与BIM；多模态感知；智能建筑与运维；预测性维护；可持续与环境评估；系统性能指标
智能建筑与运维，多模态感知，智能体与交互,智能建筑与运维；多模态感知；智能体与交互；模型优化；系统性能指标；以人为本设计
智慧养老，智能体与交互，多模态感知,智能建筑与运维；多模态感知；智能体与交互；自然语言处理；强化学习；自适应机制；以人为本设计；系统性能指标
智慧养老，智能体与交互，以人为本设计,智慧养老；智能体与交互；以人为本设计；系统性能指标；自适应机制；多模态感知
具身智能与机器人技术，智能体与交互，大语言模型,具身智能与机器人技术；智能体与交互；自然语言处理；世界模型；多模态感知；自适应机制；零样本泛化；模型优化；仿真验证；通用决策框架
具身智能与机器人技术，智能体与交互，强化学习,具身智能与机器人技术；智能体与交互；强化学习；生成式工作流；自适应机制；系统性能指标
智慧教育，多模态感知，以人为本设计,智慧教育；多模态感知；以人为本设计；数据可追溯性；自适应机制；系统性能指标
数字孪生与BIM，具身智能与机器人技术，智能体与交互,数字孪生与BIM；具身智能与机器人技术；智能体与交互；自适应机制；系统性能指标
智能体与交互，多模态感知，以人为本设计,智慧养老；智能建筑与运维；计算机视觉；自然语言处理；多模态感知；自适应机制；以人为本设计；系统性能指标
智慧养老，多模态感知，智能体与交互,多模态感知；智能体与交互；自然语言处理；以人为本设计；系统性能指标
智能建筑与运维，以人为本设计，自适应机制,智能建筑与运维；以人为本设计；自适应机制；物联网；大数据；人工智能；系统性能指标
智慧教育，智能体与交互，以人为本设计,智慧教育；智能体与交互；以人为本设计；个性化学习；自适应机制；系统性能指标
具身智能与机器人技术，智能体与交互，自然语言处理,具身智能与机器人技术；智能体与交互；自然语言处理；多模态感知；强化学习；自适应机制；模型优化；以人为本设计；系统性能指标
数字孪生与BIM，多模态感知，城市规划与更新,数字孪生与BIM；多模态感知；智能建筑与运维；城市规划与更新；自适应机制；系统性能指标
数字孪生与BIM，智能建筑与运维，系统性能指标,数字孪生与BIM；智能建筑与运维；系统性能指标；互操作性；数据融合；实时性；城市规划与更新
智慧教育，具身智能与机器人技术，生成式工作流,智慧教育；具身智能与机器人技术；生成式工作流；多模态感知；以人为本设计；自适应机制
数字孪生与BIM，智能建筑与运维，系统性能指标,数字孪生与BIM；智能建筑与运维；城市规划与更新；数字建造与制造；多模态感知；模型优化；可持续与环境评估；系统性能指标
智慧养老，智能体与交互，模型优化,智慧养老；智能体与交互；多模态感知；模型优化；以人为本设计；系统性能指标
智慧教育，智能建筑与运维，可持续与环境评估,智慧教育；智能建筑与运维；多模态感知；模型优化；以人为本设计；可持续与环境评估；系统性能指标
智慧教育，智能体与交互，以人为本设计,智慧教育；智能体与交互；多模态感知；以人为本设计；系统性能指标
智慧教育，智能建筑与运维，以人为本设计,智慧教育；智能建筑与运维；智能体与交互；数字孪生与BIM；以人为本设计；可持续与环境评估
智慧养老，智能体与交互，以人为本设计,智慧养老；智能体与交互；以人为本设计；多模态感知；数字孪生与BIM；可持续与环境评估；系统性能指标
具身智能与机器人技术，数字建造与制造，智能体与交互,具身智能与机器人技术；数字建造与制造；智能体与交互；计算机视觉；自然语言处理；自适应机制；系统性能指标
智慧教育，智能体与交互，数字孪生与BIM,智慧教育；系统性文献综述；多维度分析框架；技术架构；实施挑战；新兴研究主题；可持续发展；战略规划；评估体系
智慧教育，智能体与交互，系统性能指标,智慧教育；多模态感知；系统性能指标；智能建筑与运维；自适应机制；区块链与溯源；以人为本设计；可持续与环境评估
智能体与交互，多模态感知，以人为本设计,智慧医疗（原文）；多模态感知；智能体与交互；自适应机制；以人为本设计；系统性能指标
具身智能与机器人技术，多模态感知，强化学习,具身智能与机器人技术；多模态感知；强化学习；智能体与交互；计算机视觉；自然语言处理；自适应机制；模型优化；系统性能指标
智慧教育，具身智能与机器人技术，生成式工作流,智慧教育；具身智能与机器人技术；生成式工作流；多模态感知；以人为本设计；自适应机制
参数化与计算设计，生成式工作流，智能建筑与运维,生成式工作流；参数化与计算设计；模型优化；系统性能指标；智能建筑与运维
具身智能与机器人技术，多模态感知，智能体与交互,具身智能与机器人技术；智能体与交互；多模态感知；强化学习；自适应机制；系统性能指标
智慧养老，智能体与交互，模型优化,智慧养老；智能体与交互；以人为本设计；模型优化；系统性能指标
智慧养老，智能建筑与运维，以人为本设计,智慧养老；智能建筑与运维；数字孪生与BIM；多模态感知；以人为本设计；系统性能指标；可持续与环境评估
智慧教育，智能体与交互，多模态感知,智慧教育；多模态感知；智能体与交互；模型优化；自适应机制；以人为本设计；可持续与环境评估
智慧教育，多模态感知，以人为本设计,智慧教育；智能体与交互；多模态感知；数字孪生与BIM；以人为本设计；系统性能指标
数字孪生与BIM，多模态感知，以人为本设计,数字孪生与BIM；多模态感知；智能体与交互；模型优化；以人为本设计；系统性能指标
具身智能与机器人技术，数字建造与制造，智能体与交互,具身智能与机器人技术；智能体与交互；多模态感知；强化学习；数字孪生与BIM；自适应机制；系统性能指标
数字孪生与BIM，多模态感知，智能建筑与运维,数字孪生与BIM；多模态感知；智能体与交互；智能建筑与运维；系统性能指标
社会机器人，多准则优化，以人为本设计,智慧养老；社会机器人；多准则优化；自适应机制；以人为本设计；系统性能指标
社会机器人，多模态感知，以人为本设计,智慧养老；多模态感知；社会机器人；以人为本设计；自适应机制；系统性能指标
具身智能与机器人技术，智能体与交互，强化学习,具身智能与机器人技术；多模态感知；强化学习；智能体与交互；系统性能指标；社会机器人
智慧教育，以人为本设计，系统性能指标,智慧教育；以人为本设计；系统性能指标；可持续与环境评估
社会机器人，以人为本设计，智能体与交互,智慧养老；智能体与交互；社会机器人；以人为本设计；自适应机制；伦理嵌入
智能建筑与运维，智能体与交互，模型优化,智能建筑与运维；智能体与交互；强化学习；模型优化；自适应机制；系统性能指标；可持续与环境评估
智慧教育，智能体与交互，自适应机制,智慧教育；智能体与交互；多模态感知；自适应机制；可持续与环境评估；以人为本设计
社会机器人，以人为本设计，智能体与交互,智慧养老；智能体与交互；以人为本设计；自适应机制；社会机器人；用户体验/UX；情感计算；伦理嵌入；系统性能指标
社会机器人，智能体与交互，以人为本设计,智慧养老；智能体与交互；具身智能与机器人技术；多模态感知；自适应机制；以人为本设计；系统性能指标
智能建筑与运维，模型优化，自适应机制,智能建筑与运维；模型优化；自适应机制；可持续与环境评估；系统性能指标
社会机器人，多模态感知，自适应机制,智慧养老；多模态感知；自然语言处理；具身智能与机器人技术；自适应机制；以人为本设计；系统性能指标
智能建筑与运维，模型优化，系统性能指标,智能建筑与运维；模型优化；数字孪生与BIM；强化学习；系统性能指标
多模态感知，智能体与交互，以人为本设计,多模态感知；智能体与交互；以人为本设计；系统性能指标
智能建筑与运维，模型优化，自适应机制,智能建筑与运维；模型优化；自适应机制；系统性能指标；以人为本设计
社会机器人，以人为本设计，多准则优化,智慧养老；社会机器人；以人为本设计；多准则优化；系统性能指标；自适应机制
智能建筑与运维，模型优化，自适应机制,智能建筑与运维；模型优化；自适应机制；以人为本设计；系统性能指标
智能建筑与运维，模型优化，自适应机制,智能建筑与运维；模型优化；自适应机制；多目标跟踪；系统性能指标；以人为本设计；可持续与环境评估
智能建筑与运维，模型优化，可持续与环境评估,智能建筑与运维；模型预测控制；模型优化；可持续与环境评估；以人为本设计
社会机器人，智能体与交互，以人为本设计,智慧养老；社会机器人；多模态感知；自适应机制；以人为本设计；系统性能指标
智能建筑与运维，模型优化，强化学习,智能建筑与运维；模型优化；强化学习；自适应机制；系统性能指标；以人为本设计；可持续与环境评估
智能建筑与运维，模型优化，自适应机制,智能建筑与运维；模型优化；自适应机制；系统性能指标
计算机视觉，智能建筑与运维，多模态感知,智慧建筑；智能建筑与运维；计算机视觉；多模态感知；目标检测；模型优化；以人为本设计；系统性能指标
社会机器人，以人为本设计，智能体与交互,智慧养老；社会机器人；以人为本设计；智能体与交互；自适应机制；系统性能指标
社会机器人，智慧养老，以人为本设计,智慧养老；社会机器人；以人为本设计；人机协同/HRI；情感计算；用户体验/UX；伦理嵌入
社会机器人，智能体与交互，智慧养老,智慧养老；社会机器人；多模态感知；智能体与交互；自适应机制；以人为本设计；系统性能指标
智能建筑与运维，智能体与交互，模型优化,智能建筑与运维；智能体与交互；模型优化；自适应机制；可持续与环境评估；系统性能指标
智能建筑与运维，模型优化，自适应机制,智能建筑与运维；模型优化；自适应机制；数字孪生与BIM；系统性能指标；可持续与环境评估
数字孪生与BIM，以人为本设计，多模态感知,智能建筑与运维；数字孪生与BIM；多模态感知；自适应机制；以人为本设计；系统性能指标
智慧养老，多模态感知，智能体与交互,智慧养老；多模态感知；智能体与交互；以人为本设计；自适应机制；系统性能指标
社会机器人，智慧养老，智能体与交互,智慧养老；多模态感知；强化学习；自适应机制；以人为本设计；系统性能指标
智能体与交互，计算机视觉，自然语言处理,智能体与交互；计算机视觉；自然语言处理；强化学习；多模态感知；自适应机制；以人为本设计
智能建筑与运维，模型优化，以人为本设计,智能建筑与运维；模型优化；以人为本设计；可持续与环境评估；系统性能指标
智能建筑与运维，模型优化，可持续与环境评估,智能建筑与运维；模型优化；可持续与环境评估；自适应机制；系统性能指标；以人为本设计
智能建筑与运维，模型优化，自适应机制,智能建筑与运维；模型优化；自适应机制；多模态感知；系统性能指标
数字孪生与BIM，多模态感知，以人为本设计,数字孪生与BIM；多模态感知；以人为本设计；可持续与环境评估；智能体与交互；自适应机制
智能建筑与运维，模型优化，自适应机制,智能建筑与运维；模型优化；自适应机制；可持续与环境评估；系统性能指标
智慧教育，智能体与交互，强化学习,智慧教育；智能体与交互；强化学习；多目标跟踪；自适应机制；模型优化；系统性能指标；可持续与环境评估
智能建筑与运维，模型优化，自适应机制,智能建筑与运维；暖通空调/HVAC；能耗优化；模型优化；自适应机制；系统性能指标；鲁棒性
智慧教育，生成式工作流，以人为本设计,智慧教育；生成式工作流；具身智能与机器人技术；以人为本设计；参数化与计算设计；自适应机制；系统性能指标
多模态感知，计算机视觉，智能建筑与运维,多模态感知；计算机视觉；多目标跟踪；自适应机制；模型优化；以人为本设计；系统性能指标；智能建筑与运维；智慧养老
强化学习，数字孪生与BIM，智能建筑与运维,强化学习；数字孪生与BIM；智能建筑与运维；自适应机制；模型优化；系统性能指标；可持续与环境评估
数字孪生与BIM，多模态感知，以人为本设计,数字孪生与BIM；多模态感知；物联网传感；生理传感器/EEG/EMG；智能建筑与运维；自适应机制；以人为本设计；系统性能指标
智慧养老，多模态感知，智能体与交互,智慧养老；多模态感知；智能体与交互；以人为本设计；自适应机制；系统性能指标
具身智能与机器人技术，智能体与交互，强化学习,具身智能与机器人技术；智能体与交互；强化学习；计算机视觉；自然语言处理；自适应机制；系统性能指标
社会机器人，智慧养老，智能体与交互,智慧养老；社会机器人；多模态感知；强化学习；以人为本设计；自适应机制；系统性能指标
数字孪生与BIM，多模态感知，以人为本设计,数字孪生与BIM；多模态感知；以人为本设计；智能体与交互；可持续与环境评估；系统性能指标
智能建筑与运维，模型优化，自适应机制,智能建筑与运维；多模态感知；模型优化；自适应机制；以人为本设计；可持续与环境评估
参数化与计算设计，模型优化，生成式工作流,参数化与计算设计；生成式工作流；模型优化；数字建造与制造；系统性能指标
智慧教育，智能体与交互，强化学习,智慧教育；智能体与交互；强化学习；多模态感知；系统性能指标；可持续与环境评估
智慧教育，生成式工作流，具身智能与机器人技术,智慧教育；生成式工作流；具身智能与机器人技术；以人为本设计；参数化与计算设计；可持续与环境评估
计算机视觉，多目标跟踪，智能建筑与运维,智能建筑与运维；计算机视觉；多目标跟踪；模型优化；系统性能指标；以人为本设计
强化学习，智能建筑与运维，系统性能指标,强化学习；智能建筑与运维；自适应机制；系统性能指标；可持续与环境评估
智能建筑与运维，模型优化，系统性能指标,智能建筑与运维；模型优化；自适应机制；系统性能指标；可持续与环境评估
